iter	Passed	Remaining
0	4	9870
1	9	9501
2	14	9520
3	19	9540
4	23	9403
5	28	9322
6	32	9352
7	37	9266
8	41	9230
9	46	9223
10	51	9282
11	55	9256
12	60	9231
13	65	9251
14	69	9232
15	74	9212
16	79	9257
17	83	9219
18	88	9193
19	92	9181
20	97	9156
21	101	9130
22	106	9113
23	111	9152
24	115	9133
25	120	9115
26	124	9113
27	129	9107
28	133	9100
29	138	9108
30	143	9104
31	147	9095
32	152	9100
33	157	9086
34	161	9084
35	166	9083
36	171	9077
37	175	9073
38	180	9075
39	185	9070
40	189	9064
41	194	9060
42	199	9063
43	203	9059
44	208	9055
45	213	9062
46	218	9062
47	222	9059
48	227	9053
49	232	9051
50	236	9048
51	241	9050
52	246	9068
53	251	9061
54	256	9054
55	260	9051
56	265	9049
57	270	9042
58	274	9041
59	279	9043
60	284	9034
61	288	9029
62	293	9024
63	298	9019
64	302	9016
65	307	9011
66	312	9014
67	317	9010
68	322	9016
69	326	9013
70	331	9012
71	336	9015
72	341	9009
73	346	9006
74	350	9006
75	355	9006
76	360	8999
77	365	8998
78	370	8997
79	374	8994
80	379	8998
81	384	8996
82	389	8993
83	394	8988
84	398	8984
85	403	8975
86	407	8970
87	412	8964
88	417	8960
89	422	8957
90	426	8955
91	431	8945
92	435	8935
93	440	8929
94	444	8922
95	449	8919
96	454	8918
97	459	8914
98	464	8909
99	468	8906
100	473	8903
101	478	8896
102	482	8890
103	487	8888
104	492	8883
105	496	8878
106	501	8875
107	506	8870
108	511	8867
109	515	8865
110	520	8864
111	525	8861
112	530	8856
113	535	8851
114	539	8844
115	544	8840
116	548	8834
117	553	8831
118	558	8833
119	563	8831
120	568	8825
121	572	8820
122	577	8817
123	582	8811
124	587	8808
125	591	8804
126	596	8799
127	601	8794
128	606	8790
129	610	8784
130	615	8780
131	620	8776
132	624	8771
133	629	8763
134	633	8758
135	638	8756
136	643	8751
137	648	8747
138	653	8743
139	657	8737
140	662	8730
141	667	8729
142	671	8724
143	676	8720
144	681	8719
145	686	8714
146	690	8708
147	695	8705
148	700	8700
149	705	8695
150	709	8691
151	714	8687
152	719	8681
153	724	8681
154	729	8677
155	733	8673
156	738	8671
157	743	8667
158	748	8661
159	752	8655
160	757	8650
161	761	8645
162	766	8639
163	771	8638
164	776	8631
165	780	8628
166	785	8623
167	790	8619
168	795	8616
169	800	8612
170	804	8607
171	809	8605
172	814	8600
173	819	8595
174	823	8590
175	829	8591
176	833	8587
177	838	8582
178	843	8579
179	848	8574
180	852	8569
181	857	8563
182	862	8559
183	866	8552
184	871	8549
185	876	8545
186	880	8540
187	885	8534
188	890	8535
189	896	8537
190	901	8537
191	906	8538
192	911	8535
193	917	8537
194	922	8534
195	927	8535
196	932	8533
197	937	8532
198	942	8530
199	947	8528
200	952	8527
201	958	8527
202	963	8527
203	968	8524
204	973	8520
205	979	8526
206	986	8542
207	991	8543
208	996	8538
209	1002	8542
210	1007	8540
211	1012	8543
212	1018	8542
213	1023	8540
214	1028	8536
215	1033	8533
216	1037	8528
217	1042	8523
218	1047	8521
219	1052	8515
220	1057	8510
221	1062	8506
222	1066	8501
223	1071	8496
224	1076	8493
225	1081	8488
226	1086	8484
227	1091	8481
228	1096	8477
229	1100	8471
230	1105	8465
231	1110	8460
232	1114	8455
233	1119	8449
234	1124	8443
235	1128	8437
236	1133	8432
237	1138	8427
238	1142	8421
239	1147	8415
240	1152	8410
241	1156	8404
242	1161	8399
243	1166	8393
244	1171	8388
245	1175	8382
246	1180	8378
247	1185	8373
248	1189	8368
249	1194	8363
250	1199	8358
251	1204	8352
252	1208	8346
253	1213	8341
254	1218	8336
255	1222	8330
256	1227	8327
257	1232	8322
258	1237	8315
259	1241	8310
260	1246	8304
261	1251	8298
262	1255	8293
263	1260	8287
264	1264	8281
265	1269	8275
266	1274	8272
267	1279	8267
268	1284	8262
269	1289	8259
270	1293	8253
271	1298	8248
272	1303	8243
273	1307	8238
274	1312	8233
275	1317	8229
276	1322	8224
277	1326	8219
278	1331	8214
279	1336	8207
280	1340	8202
281	1345	8197
282	1350	8191
283	1354	8186
284	1359	8181
285	1364	8178
286	1369	8173
287	1373	8167
288	1378	8162
289	1383	8155
290	1387	8149
291	1392	8145
292	1397	8141
293	1402	8136
294	1407	8136
295	1412	8132
296	1417	8126
297	1421	8121
298	1426	8116
299	1431	8111
300	1436	8107
301	1441	8102
302	1445	8096
303	1450	8091
304	1455	8086
305	1459	8081
306	1464	8076
307	1469	8071
308	1473	8065
309	1478	8061
310	1486	8073
311	1491	8068
312	1496	8064
313	1500	8059
314	1505	8053
315	1510	8049
316	1515	8044
317	1519	8039
318	1524	8034
319	1529	8030
320	1534	8025
321	1538	8019
322	1543	8015
323	1548	8010
324	1553	8006
325	1558	8003
326	1563	7998
327	1567	7992
328	1572	7986
329	1577	7981
330	1581	7976
331	1586	7971
332	1591	7966
333	1596	7961
334	1600	7956
335	1605	7950
336	1610	7945
337	1614	7939
338	1619	7933
339	1623	7928
340	1628	7922
341	1633	7916
342	1637	7911
343	1642	7905
344	1647	7901
345	1651	7896
346	1656	7890
347	1661	7887
348	1666	7882
349	1671	7877
350	1675	7873
351	1680	7869
352	1685	7863
353	1690	7858
354	1694	7853
355	1699	7848
356	1704	7844
357	1709	7838
358	1713	7833
359	1718	7827
360	1722	7822
361	1727	7816
362	1732	7811
363	1736	7805
364	1741	7800
365	1745	7794
366	1751	7791
367	1755	7786
368	1760	7781
369	1765	7777
370	1770	7773
371	1774	7767
372	1779	7763
373	1785	7760
374	1789	7754
375	1794	7750
376	1799	7746
377	1804	7741
378	1808	7736
379	1813	7731
380	1818	7725
381	1822	7720
382	1827	7715
383	1832	7710
384	1836	7704
385	1841	7701
386	1847	7699
387	1852	7695
388	1856	7689
389	1861	7684
390	1866	7680
391	1871	7674
392	1875	7669
393	1880	7664
394	1884	7659
395	1890	7657
396	1895	7652
397	1899	7646
398	1904	7642
399	1909	7638
400	1914	7634
401	1919	7629
402	1924	7624
403	1928	7619
404	1933	7614
405	1938	7610
406	1943	7606
407	1948	7601
408	1952	7596
409	1957	7591
410	1962	7588
411	1968	7588
412	1974	7587
413	1979	7583
414	1985	7583
415	1991	7582
416	1997	7581
417	2003	7581
418	2008	7579
419	2014	7577
420	2020	7576
421	2027	7581
422	2032	7577
423	2037	7574
424	2043	7572
425	2048	7569
426	2054	7566
427	2058	7561
428	2063	7556
429	2068	7552
430	2073	7546
431	2077	7540
432	2082	7536
433	2087	7530
434	2091	7525
435	2096	7520
436	2101	7515
437	2106	7510
438	2110	7504
439	2115	7499
440	2119	7493
441	2124	7489
442	2129	7484
443	2134	7479
444	2138	7474
445	2143	7469
446	2148	7462
447	2152	7457
448	2157	7453
449	2162	7448
450	2167	7443
451	2171	7438
452	2176	7432
453	2181	7427
454	2185	7422
455	2190	7416
456	2195	7411
457	2199	7406
458	2204	7401
459	2209	7395
460	2213	7390
461	2218	7385
462	2223	7380
463	2227	7373
464	2232	7369
465	2236	7363
466	2241	7358
467	2246	7352
468	2251	7348
469	2255	7342
470	2260	7337
471	2264	7332
472	2269	7327
473	2274	7321
474	2278	7316
475	2283	7310
476	2287	7305
477	2292	7299
478	2297	7294
479	2301	7289
480	2306	7284
481	2311	7280
482	2316	7275
483	2321	7270
484	2325	7265
485	2330	7260
486	2335	7255
487	2340	7251
488	2345	7246
489	2349	7241
490	2355	7238
491	2359	7232
492	2364	7227
493	2369	7222
494	2373	7217
495	2378	7213
496	2383	7207
497	2388	7202
498	2392	7198
499	2398	7194
500	2402	7189
501	2407	7184
502	2412	7178
503	2416	7173
504	2421	7168
505	2425	7162
506	2430	7157
507	2435	7152
508	2439	7147
509	2445	7143
510	2449	7138
511	2454	7133
512	2459	7129
513	2464	7124
514	2467	7114
515	2472	7109
516	2476	7104
517	2481	7099
518	2486	7095
519	2491	7090
520	2496	7085
521	2500	7080
522	2505	7075
523	2510	7071
524	2514	7065
525	2519	7061
526	2524	7056
527	2529	7051
528	2534	7047
529	2539	7042
530	2543	7037
531	2548	7033
532	2553	7028
533	2558	7023
534	2563	7018
535	2567	7013
536	2572	7008
537	2577	7003
538	2581	6998
539	2586	6993
540	2591	6988
541	2595	6981
542	2600	6976
543	2604	6971
544	2609	6966
545	2614	6961
546	2618	6956
547	2623	6952
548	2628	6946
549	2633	6941
550	2637	6937
551	2642	6932
552	2647	6927
553	2652	6922
554	2657	6917
555	2661	6912
556	2666	6907
557	2671	6902
558	2675	6897
559	2680	6892
560	2685	6887
561	2690	6883
562	2694	6878
563	2699	6873
564	2704	6868
565	2709	6863
566	2713	6859
567	2718	6854
568	2723	6849
569	2728	6845
570	2733	6840
571	2738	6836
572	2743	6832
573	2748	6828
574	2753	6823
575	2758	6819
576	2763	6814
577	2767	6809
578	2772	6804
579	2777	6799
580	2782	6794
581	2786	6789
582	2791	6784
583	2796	6779
584	2800	6774
585	2805	6769
586	2810	6765
587	2815	6760
588	2819	6755
589	2824	6750
590	2829	6745
591	2834	6741
592	2839	6736
593	2843	6731
594	2848	6727
595	2853	6722
596	2858	6717
597	2863	6712
598	2868	6708
599	2872	6703
600	2876	6695
601	2881	6690
602	2885	6685
603	2890	6681
604	2895	6676
605	2900	6671
606	2904	6666
607	2909	6661
608	2914	6656
609	2919	6651
610	2924	6648
611	2929	6643
612	2934	6638
613	2939	6634
614	2943	6629
615	2948	6624
616	2952	6619
617	2957	6614
618	2962	6609
619	2967	6605
620	2972	6600
621	2977	6595
622	2982	6591
623	2986	6586
624	2991	6581
625	2996	6576
626	3001	6572
627	3006	6567
628	3010	6562
629	3015	6558
630	3020	6553
631	3025	6548
632	3030	6544
633	3034	6539
634	3039	6534
635	3044	6529
636	3049	6524
637	3053	6519
638	3059	6515
639	3063	6510
640	3068	6505
641	3073	6501
642	3078	6496
643	3083	6491
644	3087	6486
645	3092	6481
646	3097	6476
647	3101	6472
648	3106	6467
649	3111	6462
650	3116	6457
651	3121	6452
652	3125	6447
653	3130	6443
